Organic Waste,Paper,Cardboard,Plastic (PET),Plastic (Other),Metals (Aluminum),Metals (Iron and Steel),Glass,Textiles,E-waste,Rubber,Other
33.193146,17.166233,6.8414454,9.436993,3.8499627,2.694959,5.1440673,6.9516363,4.425004,2.2156632,2.3794975,4.195212
35.347588,18.186,7.261389,10.180262,4.070356,2.8742843,5.5203695,7.3480597,4.6838903,2.337144,2.5265882,4.462415
32.569286,16.870941,6.719842,9.221764,3.7861438,2.6430316,5.0351014,6.836844,4.350038,2.180486,2.3369043,4.117838
34.139927,17.614376,7.025992,9.763626,3.9468157,2.7737644,5.3094354,7.125847,4.538773,2.2690487,2.4441373,4.312636
35.19474,18.113653,7.231596,10.127531,4.05472,2.861562,5.493673,7.3199353,4.6655235,2.3285255,2.5161529,4.4434586
34.224625,17.654467,7.0425014,9.792847,3.95548,2.7808142,5.3242292,7.1414313,4.5489507,2.2738245,2.44992,4.3231406
35.61852,18.314243,7.3141994,10.273732,4.0980716,2.8968356,5.567692,7.397912,4.716447,2.352421,2.545086,4.4960175
33.59363,17.355797,6.919508,9.575157,3.8909311,2.7282934,5.2140174,7.0253267,4.473128,2.238245,2.4068398,4.2448816
33.7618,17.435394,6.9522867,9.633174,3.9081342,2.7422907,5.24339,7.0562696,4.4933352,2.2477274,2.4183211,4.2657385
33.870247,17.486729,6.973426,9.6705885,3.9192283,2.7513175,5.262332,7.076225,4.506367,2.2538424,2.4257255,4.279189
36.320984,18.646744,7.451124,10.516079,4.169932,2.9553056,5.690387,7.5271683,4.8008585,2.3920305,2.5930457,4.5831404
34.195873,17.640858,7.0368967,9.782927,3.952539,2.778421,5.319207,7.136141,4.5454955,2.2722032,2.447957,4.3195744
36.513645,18.737934,7.488678,10.582546,4.1896405,2.9713416,5.7240376,7.5626183,4.824009,2.402894,2.6061993,4.607035
34.570507,17.818184,7.1099205,9.912174,3.9908628,2.8096037,5.3846416,7.2050743,4.590513,2.2933273,2.4735346,4.3660383
32.537243,16.855774,6.7135963,9.210711,3.7828658,2.6403646,5.029505,6.830948,4.3461876,2.1786792,2.3347168,4.113864
