Organic Waste,Paper,Cardboard,Plastic (PET),Plastic (Other),Metals (Aluminum),Metals (Iron and Steel),Glass,Textiles,E-waste,Rubber,Other
34.35390164,18.02939961,8.76961375,10.38757851,3.656301583,3.83815806,4.962557831,7.802474995,4.632180359,2.591921969,2.42987595,3.991144221
32.36594796,17.87787144,6.609372601,9.434732319,4.294872949,2.325709238,5.77838406,6.116770888,4.575868032,2.988970161,2.545562986,4.385185202
34.18690349,16.68793516,6.267065679,8.124804269,4.142692806,3.738742144,4.876397821,7.69481631,4.651370004,2.240783239,2.044322535,3.911033772
33.43774487,16.23143772,6.034931301,9.706792129,4.551511453,3.498348917,4.75652652,6.41054184,4.279723075,2.686626586,2.670687975,4.688846319
34.60302863,16.20280671,7.105856157,9.169668883,4.977319831,2.533963501,5.418607105,7.232127472,4.414576464,2.27324772,2.170054523,4.907269603
32.36026484,17.38238388,6.888961511,9.70055377,4.945240636,3.601834729,5.487948784,6.865756372,4.307686264,2.493921817,2.806680226,4.75107385
33.82648607,18.72014541,7.985515333,9.917066737,4.444433197,2.357933957,5.435070539,6.350278427,4.54721817,2.80047654,2.819318997,3.01349262
33.04766402,16.58759358,7.164862487,9.545520773,3.113380168,3.313194329,5.460193155,6.866108658,4.052207714,2.631747497,2.205949212,4.948270468
33.89832177,17.62626409,8.14334095,10.38175721,3.394406657,2.775588664,4.504490776,7.459116036,4.029986168,2.297570034,2.047736573,4.307493141
35.77132654,17.30272265,7.877222561,9.296475356,4.018343759,3.021806883,5.549961591,6.447196979,4.166082352,2.478630756,2.512744734,4.562524411
35.99775776,17.54201983,6.808047714,8.653385264,4.045099819,3.3118736,4.960745625,6.740800779,4.318962648,2.237632706,2.38973757,3.019490478
37.5308266,16.2519069,6.460177551,9.498995407,3.290523222,2.716771419,5.098953813,7.266931018,4.836049646,2.319495462,2.021440373,3.155851849
34.32660104,19.05115844,7.941003764,8.568131519,4.316340682,2.92565371,5.923199917,6.007800797,4.224796239,2.93168843,2.187599447,3.143810918
37.16552126,18.86602724,7.32984137,9.49123711,3.180116403,2.051814852,4.643676635,7.761043058,4.170525175,2.91765177,2.902260172,3.146838632
37.72031221,16.62325945,8.468833548,10.44574198,3.358397033,3.753224795,5.440926073,7.947969391,4.377951728,2.296689732,2.422441385,3.399614648
36.52519443,18.11275644,6.685491085,8.483369272,4.854811368,2.018235715,4.296288581,7.243465099,4.150720128,2.198894634,2.676143647,3.961521465
33.34151827,17.5747393,8.840900306,9.950625432,3.109704615,3.28695785,4.175576755,7.889169748,4.498595041,2.120968948,2.642472921,4.350718693
35.84114575,16.230507,7.463546213,10.99894694,3.030788521,3.364384994,4.845533944,7.937235181,4.249667073,2.781643654,2.671748729,3.897474188
37.02719146,17.00451684,7.101948802,9.080109375,4.994348989,2.99869921,5.830936857,6.667883367,4.137421076,2.830561576,2.467629788,3.516002283
37.42242382,18.70329621,6.311459375,11.39618037,3.50500037,2.716298204,4.653610469,7.459611057,4.669771376,2.360028037,2.750569986,4.841555147
32.08213634,18.84291168,7.289278192,11.82695461,4.688931294,2.590635132,4.124516924,7.539314985,4.152317587,2.034795374,2.50166255,4.286895192
36.98385253,19.32708737,8.111125345,10.69386364,4.169859314,3.063336892,4.279760086,6.995577535,4.134761892,2.737036841,2.666904825,3.795763899
32.99416929,18.54538428,8.100319105,8.911129019,4.859912376,2.285777324,5.22297281,7.501036357,4.057601496,2.432777435,2.826194354,3.125515809
32.09182161,16.28959984,8.702803242,8.491606541,4.954788059,3.361936227,5.385280183,7.796029588,4.642725163,2.58165695,2.688477213,4.712454686
32.564981,17.14708024,7.41754003,9.073496888,4.187451153,3.697368672,5.705670554,6.389222404,4.621973109,2.852586895,2.347314283,4.052027924
34.10923898,17.45209056,6.638198972,9.206345029,3.951957078,2.155062212,5.754539235,7.233099811,4.172644562,2.642952598,2.770173545,4.387168466
36.20717874,18.5355289,8.137848116,10.30457735,4.998445921,2.650392928,4.228133437,7.052290583,4.949428562,2.92866073,2.09929176,4.268353999
33.69235198,19.24420161,7.3915235,9.209161946,3.564209342,3.192163154,4.042467065,6.148971065,4.255375028,2.781908399,2.392799882,4.535905678
37.11220956,17.39548906,8.727366715,8.509426936,3.63758808,2.030176705,4.522552205,7.138922026,4.945116232,2.257803389,2.529648665,3.359126051
33.86002311,16.10202477,8.757641048,8.436886227,4.508590886,3.403195821,5.465665873,7.76024026,4.644599808,2.536736255,2.71351731,3.931886872
34.97456768,16.38041956,6.818014483,8.874778625,3.088551972,3.461374841,5.175792367,7.607961457,4.575215345,2.841981483,2.329847883,3.000731673
